site,ecosystem,trait,coef.vars,elasticities,sensitivities,variances,partial.variances
MANDIFORE-SEUS-1123,mixed,Leaf turnover rate,0.6614094440166186,-6.185880997824343e-4,-4.6953688476457443e-4,1.6683351512666874e-6,0.028820195517840885
MANDIFORE-SEUS-1123,mixed,Seed dispersal,0.19806231610761282,-1.1539864325086388e-6,-1.716013428757187e-5,4.648477378566508e-10,8.030162692959515e-6
MANDIFORE-SEUS-1123,mixed,Fine root allocation,1.4464502213227883,2.1740027024121436e-4,2.995836091734023e-4,1.7625100082936716e-6,0.030447049564716108
MANDIFORE-SEUS-1123,mixed,Root turnover rate,0.6847636546066451,-2.582084233517017e-4,-0.0015180615232569146,2.9336171838936724e-7,0.005067771949186625
MANDIFORE-SEUS-1123,mixed,Seedling mortality,0.14497050245557275,-0.018802026474856313,-0.06138914821149291,2.869969740360576e-5,0.49578221129416794
MANDIFORE-SEUS-1123,mixed,Stomatal slope,0.1626510985367714,0.0026292899248069497,0.0023384286276295204,1.7761698118857905e-6,0.03068302026278674
MANDIFORE-SEUS-1123,mixed,Quantum efficiency,0.05369236409023087,0.008364250952286795,0.45812298738371204,1.9442297840728685e-6,0.0335862266439968
MANDIFORE-SEUS-1123,mixed,Vcmax,0.13922704916660492,-0.005014305912205919,-7.086935318812312e-4,4.5242288377365715e-6,0.07815525529868729
MANDIFORE-SEUS-1123,mixed,Reproductive allocation,0.5677877016365173,0,0,2.978098822150427e-32,5.144613194816448e-28
MANDIFORE-SEUS-1123,mixed,Cuticular conductance,0.8196825861653937,0.0011229048718083183,2.659405105249828e-7,5.013932820320274e-6,0.08661480523576799
MANDIFORE-SEUS-1123,mixed,Specific leaf area,0.22078921384314484,-0.005077275541913155,-3.862409074050627e-4,1.2204780691861316e-5,0.21083543407015665
MANDIFORE-SEUS-1123,pine,Leaf turnover rate,0.6613491982710364,-0.002600917788987442,-8.316665619551681e-4,5.373859228931503e-6,0.01719145748487106
MANDIFORE-SEUS-1123,pine,Seed dispersal,0.19807083845552426,3.025394039724902e-5,1.8952804308835998e-4,7.612376269492467e-11,2.43526741994397e-7
MANDIFORE-SEUS-1123,pine,Fine root allocation,1.449015310570879,0.0014375262856553299,8.33657634495557e-4,5.3295189088880174e-6,0.017049608825570637
MANDIFORE-SEUS-1123,pine,Root turnover rate,0.6847721752847097,-9.057050689852871e-4,-0.002243293188896394,6.410062844312965e-7,0.0020506365754815094
MANDIFORE-SEUS-1123,pine,Seedling mortality,0.14496571678118744,-0.11200420726937792,-0.15405848544227618,1.1765884036536209e-4,0.3764011794299526
MANDIFORE-SEUS-1123,pine,Stomatal slope,0.16267332686956834,0.01701094352790923,0.006373562843985095,1.3315292968687569e-5,0.04259681603444412
MANDIFORE-SEUS-1123,pine,Quantum efficiency,0.053691319938674764,0.039441902662085214,0.9100788185912799,7.65693000234641e-6,0.024495205585455027
MANDIFORE-SEUS-1123,pine,Vcmax,0.13927154818368825,-0.02060038292439297,-0.0012265473357655576,1.374995205824547e-5,0.04398732943277018
MANDIFORE-SEUS-1123,pine,Reproductive allocation,0.5677971385454587,0,0,4.893647485073342e-33,1.5655217061261227e-29
MANDIFORE-SEUS-1123,pine,Cuticular conductance,0.8197659700096159,0.011918507029523231,1.189529059868598e-6,1.266710445778349e-4,0.4052320287252938
MANDIFORE-SEUS-1123,pine,Specific leaf area,0.220805464696547,-0.01625057348893071,-5.207822229192946e-4,2.219240532800337e-5,0.0709954943794191
MANDIFORE-SEUS-1123,prairie,Leaf turnover rate,0.6614094440166186,-0.14247139696405267,-0.02160909859117438,0.005847571432894112,0.01422693467986483
MANDIFORE-SEUS-1123,prairie,Seed dispersal,0.19806231610761282,-2.045350312549316e-5,-6.078290822564996e-5,6.493774629856581e-9,1.57991242253211e-8
MANDIFORE-SEUS-1123,prairie,Fine root allocation,1.4464502213227883,-0.16746637563954042,-0.04068596203403596,0.15818402375651672,0.38485614057190454
MANDIFORE-SEUS-1123,prairie,Root turnover rate,0.6847636546066451,-0.12040299096369012,-0.1414480802187538,0.004347844141633776,0.01057815117115078
MANDIFORE-SEUS-1123,prairie,Seedling mortality,0.14497050245557275,-0.33357054619753657,-0.21762834136243098,0.03457018157039504,0.08410803026815855
MANDIFORE-SEUS-1123,prairie,Stomatal slope,0.1626510985367714,-2.397442386407582,-0.42606379838317093,0.06931327206706747,0.16863674184443692
